from_id,to_id,relationship_type
135,32,TREATED_BY
135,604,TREATED_BY
136,605,TREATED_BY
136,152,TREATED_BY
136,46,TREATED_BY
136,133,TREATED_BY
136,606,TREATED_BY
136,156,TREATED_BY
136,607,TREATED_BY
136,608,TREATED_BY
137,609,TREATED_BY
137,610,TREATED_BY
137,611,TREATED_BY
137,31,TREATED_BY
137,612,TREATED_BY
137,613,TREATED_BY
137,614,TREATED_BY
138,615,TREATED_BY
138,616,TREATED_BY
138,617,TREATED_BY
138,618,TREATED_BY
138,619,TREATED_BY
138,620,TREATED_BY
138,621,TREATED_BY
139,622,TREATED_BY
139,623,TREATED_BY
139,624,TREATED_BY
139,625,TREATED_BY
139,626,TREATED_BY
140,627,TREATED_BY
140,628,TREATED_BY
140,629,TREATED_BY
140,630,TREATED_BY
140,631,TREATED_BY
140,632,TREATED_BY
140,91,TREATED_BY
140,600,TREATED_BY
140,633,TREATED_BY
141,634,TREATED_BY
141,84,TREATED_BY
141,635,TREATED_BY
141,636,TREATED_BY
141,637,TREATED_BY
141,46,TREATED_BY
141,52,TREATED_BY
142,638,TREATED_BY
142,639,TREATED_BY
142,46,TREATED_BY
142,640,TREATED_BY
142,641,TREATED_BY
142,642,TREATED_BY
142,643,TREATED_BY
143,644,TREATED_BY
143,645,TREATED_BY
143,646,TREATED_BY
143,647,TREATED_BY
143,648,TREATED_BY
143,649,TREATED_BY
144,650,TREATED_BY
144,651,TREATED_BY
144,652,TREATED_BY
144,653,TREATED_BY
145,654,TREATED_BY
145,655,TREATED_BY
145,656,TREATED_BY
145,170,TREATED_BY
145,391,TREATED_BY
145,657,TREATED_BY
146,658,TREATED_BY
146,382,TREATED_BY
146,659,TREATED_BY
147,660,TREATED_BY
147,661,TREATED_BY
147,662,TREATED_BY
147,600,TREATED_BY
147,633,TREATED_BY
147,663,TREATED_BY
148,664,TREATED_BY
148,665,TREATED_BY
148,666,TREATED_BY
148,656,TREATED_BY
148,170,TREATED_BY
148,548,TREATED_BY
148,667,TREATED_BY
148,668,TREATED_BY
149,669,TREATED_BY
